ORG_CODE,SIMPLE_ALL_STAFF_FTE,YEAR
RBS,5869.77271,2013
RBT,7419.08185,2013
RBV,5866.56495,2013
RBZ,9060.86538,2013
RC1,5252.53169,2013
RC9,7850.84533,2013
RCB,17594.45517,2013
RCD,7207.26865,2013
RCF,5610.34025,2013
RCU,5857.28991,2013
RCX,6139.85956,2013
RD1,8519.34228,2013
RD3,7632.20958,2013
RD8,6287.87861,2013
RDD,10019.05079,2013
RDE,9135.29915,2013
RDR,9260.25664,2013
RDU,9270.08158,2013
RDY,11163.58327,2013
RDZ,8938.49662,2013
RE9,9682.46992,2013
REF,11841.65573,2013
REM,10062.71341,2013
REN,2172.41456,2013
REP,3075.01356,2013
RET,2636.15018,2013
RF4,12501.64664,2013
RFF,6272.81198,2013
RFR,8881.24076,2013
RFS,7652.7,2013
RGD,7475.45405,2013
RGM,3941.455,2013
RGN,8368.94775,2013
RGP,6137.99779,2013
RGQ,7720.95223,2013
RGR,6390.73473,2013
RGT,18355.73997,2013
RH5,7947.50608,2013
RH8,13620.36375,2013
RHA,20282.06871,2013
RHM,18565.99892,2013
RHQ,31706.20508,2013
RHU,13083.42966,2013
RHW,11142.67341,2013
RJ1,28360.39972,2013
RJ2,6713.19896,2013
RJ6,7739.76205,2013
RJ7,17640.62378,2013
RJ8,4043.09565,2013
RJC,8624.34752,2013
RJE,15707.81474,2013
RJF,6554.18298,2013
RJL,12492.72899,2013
RJN,7266.42134,2013
RJR,8032.50171,2013
RJX,4252.4982,2013
RJZ,17484.67993,2013
RK5,9353.86372,2013
RK9,13318.62937,2013
RKB,14613.3214,2013
RKE,9303.00965,2013
RKL,7908.19413,2013
RL1,2763.19869,2013
RL4,14820.26861,2013
RLN,10865.69558,2013
RLQ,5706.12075,2013
RLT,4340.27312,2013
RLU,3752.91937,2013
RLY,3339.97291,2013
RM1,14291.66993,2013
RM2,12488.25533,2013
RM3,14616.45529,2013
RMC,11404.13635,2013
RMP,5268.99794,2013
RMY,8946.34994,2013
RN3,10737.46069,2013
RN5,11628.99613,2013
RN7,5388.64846,2013
RNA,10063.19217,2013
RNK,1211.11386,2013
RNL,7999.1344,2013
RNN,7817.08269,2013
RNQ,7536.75349,2013
RNS,10074.12498,2013
RNU,12506.33903,2013
RNZ,7043.54667,2013
RP1,7514.63515,2013
RP4,8352.09561,2013
RP5,13333.5571,2013
RP6,3788.76011,2013
RP7,4648.61843,2013
RPA,8661.75148,2013
RPC,1952.26691,2013
RPG,7272.27329,2013
RPY,8602.54808,2013
RQ3,7265.05401,2013
RQ6,13029.64638,2013
RQ8,8511.33272,2013
RQM,7028.91893,2013
RQQ,3372.53959,2013
RQW,6271.19246,2013
RQX,8118.5337,2013
RQY,4880.56324,2013
RR1,22210.63529,2013
RR7,8162.89862,2013
RR8,32185.06355,2013
RRD,4563.82713,2013
RRE,7944.69343,2013
RRF,10257.59085,2013
RRJ,1972.82525,2013
RRK,18014.36815,2013
RRP,6124.12983,2013
RRU,10131.21324,2013
RRV,17346.15458,2013
RT1,5387.92398,2013
RT2,13373.29715,2013
RT3,7113.61709,2013
RT5,11954.31525,2013
RTD,28570.09786,2013
RTE,15447.77295,2013
RTF,18267.24376,2013
RTG,16198.65303,2013
RTH,21903.67321,2013
RTK,7211.50091,2013
RTP,7526.59408,2013
RTQ,4312.91104,2013
RTR,19229.95697,2013
RTV,7984.93156,2013
RTX,10365.89005,2013
RV3,14369.13324,2013
RV5,10600.54837,2013
RV9,6160.77784,2013
RVJ,18634.10367,2013
RVN,8681.22186,2013
RVR,9314.19149,2013
RVV,16244.54091,2013
RVW,11761.02662,2013
RVY,7434.33008,2013
RW1,17723.46532,2013
RW3,27833.13971,2013
RW4,9225.3108,2013
RW5,15378.91154,2013
RW6,20364.80509,2013
RWA,16157.75024,2013
RWD,15284.57272,2013
RWE,23722.90786,2013
RWF,12448.24063,2013
RWG,8828.49931,2013
RWH,11673.9437,2013
